M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 8 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 1 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', False]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=0 | Lieutenant Decisions = ['Traitor', True]
M=5, N=3, T1_INTERVALS = 1 / 2 Loyal_Aborts=1 | Lieutenant Decisions = ['Traitor', None]
