M, N, Num_Traitors, Channel_Length, Attenuation, Abort_Count, Correct_Count, Incorrect_Count
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
1,5,1,10,2e-05,0,0,3
1,5,1,10,2e-05,2,0,1
1,5,1,10,2e-05,3,0,0
1,5,1,10,2e-05,3,0,0
1,5,1,10,2e-05,3,0,0
1,5,1,10,2e-05,3,0,0
1,5,1,10,2e-05,2,0,1
1,5,1,10,2e-05,3,0,0
1,5,1,10,2e-05,3,0,0
1,5,1,10,2e-05,0,0,3
1,5,1,10,2e-05,0,0,3
1,5,1,10,2e-05,3,0,0
1,5,1,10,2e-05,3,0,0
1,5,1,10,2e-05,2,0,1
1,5,1,10,2e-05,0,0,3
1,5,1,10,2e-05,3,0,0
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,1,0,0
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,10,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,1,0,0
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,100,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,1,0,0
10,3,1,1000,2e-05,0,0,1
10,3,1,1000,2e-05,0,0,1
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,1,0,2
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,1,0,2
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,1,0,2
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,2,0,1
1,5,1,100,2e-05,2,0,1
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,2,0,1
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,2,0,1
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,1,0,2
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,2,0,1
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,1,0,2
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,2,0,1
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,2,0,1
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,1,0,2
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,1,0,2
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,2,0,1
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,2,0,1
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,0,0,3
1,5,1,100,2e-05,3,0,0
1,5,1,100,2e-05,3,0,0
